invoice_date,target_revenue,past_7_revenue,past_31_revenue,past_60_revenue,past_150_revenue,past_30_mean_interactions,past_150_mean_interactions,past_30_mean_views,past_150_mean_views,past_30_mean_invoices,past_150_mean_invoices,past_30_mean_streams,past_150_mean_streams
2019-08-01,128232.13999999948,6251.819999999948,6251.819999999948,6251.819999999948,6251.819999999948,1794.0,1794.0,11920.0,11920.0,93.0,93.0,896.0,896.0
2019-08-02,127517.42999999948,10654.979999999927,10654.979999999927,10654.979999999927,10654.979999999927,1597.5,1597.5,9658.5,9658.5,79.0,79.0,860.0,860.0
2019-08-03,131922.19999999943,10654.979999999927,10654.979999999927,10654.979999999927,10654.979999999927,1065.0,1065.0,6439.0,6439.0,52.666666666666664,52.666666666666664,573.3333333333334,573.3333333333334
2019-08-04,134028.26999999944,11965.72999999993,11965.72999999993,11965.72999999993,11965.72999999993,934.0,934.0,5637.25,5637.25,47.75,47.75,532.25,532.25
2019-08-05,135931.5299999994,20146.159999999916,20146.159999999916,20146.159999999916,20146.159999999916,1032.2,1032.2,5972.4,5972.4,49.0,49.0,589.0,589.0
2019-08-06,137201.94999999937,24381.979999999905,24381.979999999905,24381.979999999905,24381.979999999905,1046.1666666666667,1046.1666666666667,6103.833333333333,6103.833333333333,50.666666666666664,50.666666666666664,601.6666666666666,601.6666666666666
2019-08-07,136556.07999999938,30588.869999999886,30588.869999999886,30588.869999999886,30588.869999999886,1085.857142857143,1085.857142857143,6190.0,6190.0,51.857142857142854,51.857142857142854,631.8571428571429,631.8571428571429
2019-08-08,122510.77999999936,44634.16999999989,44634.16999999989,44634.16999999989,44634.16999999989,1191.125,1191.125,7010.5,7010.5,55.625,55.625,683.5,683.5
2019-08-09,135400.14999999938,31384.429999999895,37636.24999999984,37636.24999999984,37636.24999999984,1181.0,1181.0,6949.777777777777,6949.777777777777,56.0,56.0,686.5555555555555,686.5555555555555
2019-08-10,140766.06999999937,26981.269999999917,37636.24999999984,37636.24999999984,37636.24999999984,1062.9,1062.9,6254.8,6254.8,50.4,50.4,617.9,617.9
2019-08-11,147506.37999999936,29124.77999999992,39779.75999999984,39779.75999999984,39779.75999999984,1016.8181818181819,1016.8181818181819,5883.363636363636,5883.363636363636,49.09090909090909,49.09090909090909,597.1818181818181,597.1818181818181
2019-08-12,149068.61999999933,30381.999999999913,42347.72999999984,42347.72999999984,42347.72999999984,1005.5,1005.5,5900.666666666667,5900.666666666667,49.416666666666664,49.416666666666664,596.75,596.75
2019-08-13,171554.64999999947,25173.769999999928,45319.92999999984,45319.92999999984,45319.92999999984,1007.0,1007.0,6006.153846153846,6006.153846153846,50.38461538461539,50.38461538461539,602.3846153846154,602.3846153846154
2019-08-14,170296.3099999995,29338.0399999999,53720.0199999998,53720.0199999998,53720.0199999998,1054.0,1054.0,6297.642857142857,6297.642857142857,51.285714285714285,51.285714285714285,626.9285714285714,626.9285714285714
2019-08-15,166569.3799999995,26858.0799999999,57446.949999999786,57446.949999999786,57446.949999999786,1068.4,1068.4,6468.466666666666,6468.466666666666,54.333333333333336,54.333333333333336,635.4666666666667,635.4666666666667
2019-08-16,168337.9999999995,14703.679999999898,59337.84999999979,59337.84999999979,59337.84999999979,1046.0625,1046.0625,6426.1875,6426.1875,54.4375,54.4375,627.1875,627.1875
2019-08-17,177648.0599999995,21701.599999999948,59337.84999999979,59337.84999999979,59337.84999999979,984.5294117647059,984.5294117647059,6048.176470588235,6048.176470588235,51.23529411764706,51.23529411764706,590.2941176470588,590.2941176470588
2019-08-18,181354.96999999948,25020.73999999994,62656.98999999978,62656.98999999978,62656.98999999978,989.0555555555555,989.0555555555555,5987.222222222223,5987.222222222223,50.666666666666664,50.666666666666664,594.0555555555555,594.0555555555555
2019-08-19,192124.56999999948,26260.449999999928,66040.20999999977,66040.20999999977,66040.20999999977,1002.2105263157895,1002.2105263157895,6156.578947368421,6156.578947368421,51.421052631578945,51.421052631578945,600.2631578947369,600.2631578947369
2019-08-20,196204.8999999994,27500.53999999992,69848.26999999977,69848.26999999977,69848.26999999977,1018.2,1018.2,6275.35,6275.35,52.2,52.2,609.25,609.25
2019-08-21,187467.46999999933,42962.78000000004,88282.70999999989,88282.70999999989,88282.70999999989,1059.047619047619,1059.047619047619,6521.190476190476,6521.190476190476,54.57142857142857,54.57142857142857,626.1904761904761,626.1904761904761
2019-08-22,182302.32999999935,39727.83000000006,93447.84999999986,93447.84999999986,93447.84999999986,1068.1363636363637,1068.1363636363637,6618.363636363636,6618.363636363636,56.09090909090909,56.09090909090909,632.6363636363636,632.6363636363636
2019-08-23,185320.75099999935,38512.16000000006,95959.10999999986,95959.10999999986,95959.10999999986,1061.2173913043478,1061.2173913043478,6660.217391304348,6660.217391304348,56.0,56.0,632.0434782608696,632.0434782608696
2019-08-24,191285.41199999928,36621.26000000006,95959.10999999986,95959.10999999986,95959.10999999986,1017.0,1017.0,6382.708333333333,6382.708333333333,53.666666666666664,53.666666666666664,605.7083333333334,605.7083333333334
